Valdeltagande bland förstagångsväljare i valet till kommunfullmäktige;;;;;
Kommun;2014;2010;2006;;
Ale kommun;81;74;69;;0=svar saknas
Alingsås kommun;0;77;71;;
Alvesta kommun;79;71;68;;
Aneby kommun;83;80;71;;
Arboga kommun;76;60;63;;
Arjeplogs kommun;62;64;62;;
Arvidsjaurs kommun;68;66;67;;
Arvika kommun;71;48;61;;
Askersunds kommun;78;72;62;;
Avesta kommun;77;71;69;;
Bengtsfors kommun;73;64;63;;
Bergs kommun;73;67;62;;
Bjurholms kommun;70;0;77;;
Bjuvs kommun;71;66;60;;
Bodens kommun;0;77;65;;
Bollebygds kommun;81;78;0;;
Bollnäs kommun;72;69;60;;
Borgholms kommun;78;66;65;;
Borlänge kommun;76;0;64;;
Borås stad;61;77;66;;
Botkyrka kommun;69;71;0;;
Boxholms kommun;81;75;76;;
Bromölla kommun;72;0;66;;
Bräcke kommun;66;79;57;;
Burlövs kommun;74;72;65;;
Båstads kommun;78;72;75;;
Dals-Eds kommun;0;68;66;;
Danderyds kommun;87;85;91;;
Degerfors kommun;76;73;63;;
Dorotea kommun;73;68;61;;
Eda kommun;0;58;61;;
Ekerö kommun;83;84;81;;
Eksjö kommun;0;72;66;;
Emmaboda kommun;76;75;69;;
Enköpings kommun;78;75;70;;
Eskilstuna kommun;74;73;64;;
Eslövs kommun;75;75;71;;
Essunga kommun;75;76;69;;
Fagersta kommun;67;70;66;;
Falkenbergs kommun;79;71;0;;
Falköpings kommun;77;75;68;;
Falu kommun;0;77;71;;
Filipstads kommun;72;72;62;;
Finspångs kommun;75;80;86;;
Flens kommun;76;0;69;;
Forshaga kommun;79;76;0;;
Färgelanda kommun;71;72;69;;
Gagnefs kommun;79;76;67;;
Gislaveds kommun;75;67;71;;
Gnesta kommun;80;70;72;;
Gnosjö kommun;74;75;76;;
Gotlands kommun;0;70;67;;
Grums kommun;78;65;61;;
Grästorps kommun;82;82;73;;
Gullspångs kommun;68;73;69;;
Gällivare kommun;73;64;63;;
Gävle kommun;78;73;67;;
Göteborgs stad;76;0;0;;
Götene kommun;79;75;89;;
Habo kommun;85;82;76;;
Hagfors kommun;67;68;64;;
Hallsbergs kommun;79;81;71;;
Hallstahammars kommun;75;70;61;;
Halmstads kommun;77;75;70;;
Hammarö kommun;82;79;76;;
Haninge kommun;76;74;0;;
Haparanda stad;51;57;52;;
Heby kommun;0;0;63;;
Hedemora kommun;70;66;61;;
Helsingborgs stad;75;73;69;;
Herrljunga kommun;0;75;73;;
Hjo kommun;0;72;74;;
Hofors kommun;70;69;66;;
Huddinge kommun;76;75;0;;
Hudiksvalls kommun;72;68;0;;
Hultsfreds kommun;75;74;64;;
Hylte kommun;72;71;68;;
Håbo kommun;82;78;70;;
Hällefors kommun;0;66;62;;
Härjedalens kommun;76;66;69;;
Härnösands kommun;76;0;64;;
Härryda kommun;82;77;75;;
Hässleholms kommun;0;75;66;;
Höganäs kommun;79;0;71;;
Högsby kommun;82;67;73;;
Hörby kommun;78;72;69;;
Höörs kommun;0;72;74;;
Jokkmokks kommun;72;65;70;;
Järfälla kommun;78;76;72;;
Jönköpings kommun;79;77;74;;
Kalix kommun;74;69;62;;
Kalmar kommun;79;75;78;;
Karlsborgs kommun;78;0;72;;
Karlshamns kommun;76;75;71;;
Karlskoga kommun;77;71;68;;
Karlskrona kommun;87;80;0;;
Karlstads kommun;80;75;0;;
Katrineholms kommun;64;71;0;;
Kils kommun;75;73;66;;
Kinda kommun;85;68;73;;
Kiruna kommun;76;79;61;;
Klippans kommun;69;71;63;;
Knivsta kommun;92;0;82;;
Kramfors kommun;70;68;60;;
Kristianstads kommun;77;0;74;;
Kristinehamns kommun;0;72;86;;
Krokoms kommun;68;65;65;;
Kumla kommun;79;71;73;;
Kungsbacka kommun;82;78;76;;
Kungsörs kommun;73;75;65;;
Kungälvs kommun;81;82;68;;
Kävlinge kommun;80;79;72;;
Köpings kommun;74;67;63;;
Laholms kommun;72;69;68;;
Landskrona stad;74;71;0;;
Laxå kommun;77;73;64;;
Lekebergs kommun;71;74;75;;
Leksands kommun;75;71;78;;
Lerums kommun;82;81;77;;
Lessebo kommun;80;76;70;;
Lidingö stad;86;85;82;;
Lidköpings kommun;79;77;72;;
Lilla Edets kommun;73;72;67;;
Lindesbergs kommun;84;0;67;;
Linköpings kommun;0;78;88;;
Ljungby kommun;77;67;68;;
Ljusdals kommun;75;67;55;;
Ljusnarsbergs kommun;75;0;60;;
Lomma kommun;86;84;81;;
Ludvika kommun;0;85;69;;
Luleå kommun;79;81;0;;
